Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_AllowSameZoneTypeEnterNotificationsTitle,"Allow same Zone-Type Enter/Exit Notifications","Allow same Zone-Type Enter/Exit Notifications","Allow same Zone-Type Enter/Exit Notifications","Allow same Zone-Type Enter/Exit Notifications","Оповещение: вход/выход в зоны одного типа","Powiadomienie: wejście/wyjście do stref tego samego typu","Allow same Zone-Type Enter/Exit Notifications","Allow same Zone-Type Enter/Exit Notifications","Allow same Zone-Type Enter/Exit Notifications","Autoriser les notifications d'entrée/sortie du même type de zone","允许相同的区域类型输入/退出通知","Allow same Zone-Type Enter/Exit Notifications","Allow same Zone-Type Enter/Exit Notifications","允许相同的区域类型输入/退出通知",
STR_CircleDrawingWidthTitle,"Circle Drawing Width (thickness of lines)","Circle Drawing Width (thickness of lines)","Circle Drawing Width (thickness of lines)","Circle Drawing Width (thickness of lines)","Толщина линиу зоны","Grubość linii strefy","Circle Drawing Width (thickness of lines)","Circle Drawing Width (thickness of lines)","Circle Drawing Width (thickness of lines)","Largeur du cercle (épaisseur des lignes)","圆形绘图宽度（线条粗细）","Circle Drawing Width (thickness of lines)","Circle Drawing Width (thickness of lines)","圆形绘图宽度（线条粗细）",
STR_DisableAiZoneScanningTitle,"Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Отключить сканирование зон AI (экспериментально для тестирования","Wyłączyć skanowanie stref przez AI (eksperymentalnie do testowania)","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Désactiver Analyse Zone Ai (Expérimental pour les tests, il vaut mieux désactiver pour l'instant) Redémarrage Requis","禁用Ai区域扫描（这是实验性的测试）最好暂时关闭）需要重新启动","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","禁用Ai区域扫描（这是实验性的测试）最好暂时关闭）需要重新启动",
STR_EnableItemSpawnZoneCreationTitle,"Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Включить создание зон вокруг ключевых предметов","Włączyć tworzenie stref wokół kluczowych przedmiotów","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Activer la création de zones de spawn d'objets (peut causer lags/délais si beaucoup d’objets spawn sur la carte).","启用项目生成区创建（如果在地图上使用大量生成的项目，可能会导致滞后/延迟)","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","启用项目生成区创建（如果在地图上使用大量生成的项目，可能会导致滞后/延迟)",
STR_EnableAIMissionZoneCreationTitle,"Enable Zone creation for Dynamic AI Missions","Enable Zone creation for Dynamic AI Missions","Enable Zone creation for Dynamic AI Missions","Enable Zone creation for Dynamic AI Missions","Включить создание зон для динамических миссий AI","Włączyć tworzenie stref dla dynamicznych misji AI","Enable Zone creation for Dynamic AI Missions","Enable Zone creation for Dynamic AI Missions","Enable Zone creation for Dynamic AI Missions","Activation de la création de zones pour les missions dynamiques de l'IA","为动态AI任务启用区域创建","Enable Zone creation for Dynamic AI Missions","Enable Zone creation for Dynamic AI Missions","为动态AI任务启用区域创建",
STR_btnGeneralApply,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","保存应用","Save and Reload","Save and Reload","保存应用",
STR_DrawOnMapSettingsTitle,"== Draw on Map Settings ==","== Draw on Map Settings ==","== Draw on Map Settings ==","== Draw on Map Settings ==","== == Настройки отображения на карте == ==","== ==Ustawienia wyświetlania na mapie '== ==","== Draw on Map Settings ==","== Draw on Map Settings ==","== Draw on Map Settings ==","== Paramètres Dessin sur la carte  ==","== 绘制地图设置 ==","== Draw on Map Settings ==","== Draw on Map Settings ==","== 绘制地图设置 ==",
STR_DrawNamesOnZonesTitle,"Draw Zone Names on normal Player Map","Draw Zone Names on normal Player Map","Draw Zone Names on normal Player Map","Draw Zone Names on normal Player Map","Показывать название зон на карте","Wyświetlać nazwy stref na mapie","Draw Zone Names on normal Player Map","Draw Zone Names on normal Player Map","Draw Zone Names on normal Player Map","Dessiner les noms des zones sur la carte normale du joueur","在普通玩家地图上绘制区域名称","Draw Zone Names on normal Player Map","Draw Zone Names on normal Player Map","在普通玩家地图上绘制区域名称",
STR_LB_DrawMiniMapZonesTitle,"Lb Master Minimap","Lb Master Minimap","Lb Master Minimap","Lb Master Minimap","Мини-карта Lb Master","Mini-mapa Lb Master","Lb Master Minimap","Lb Master Minimap","Lb Master Minimap","Minimap de Lb Master","Lb主迷你地图","Lb Master Minimap","Lb Master Minimap","Lb主迷你地图",
STR_LB_MiniMapDrawNamesTitle,"Lb Master Minimap Zone Names","Lb Master Minimap Zone Names","Lb Master Minimap Zone Names","Lb Master Minimap Zone Names","Названия зон на мини-карте Lb Master","Nazwy stref na mini-mapie Lb Master","Lb Master Minimap Zone Names","Lb Master Minimap Zone Names","Lb Master Minimap Zone Names","Minimap de Lb Master Noms de zone","Lb主迷你地图区域名称","Lb Master Minimap Zone Names","Lb Master Minimap Zone Names","Lb主迷你地图区域名称",
STR_DrawZonesOnVPPAdminTitle,"VPP Admin Map","VPP Admin Map","VPP Admin Map","VPP Admin Map","VPPAdminTools","VPPAdminTools","VPP Admin Map","VPP Admin Map","VPP Admin Map","VPP Admin Map","VPP管理地图","VPP Admin Map","VPP Admin Map","VPP管理地图",
STR_DrawVPPAdminZoneLabelsTitle,"VPP Admin Zone Labels","VPP Admin Zone Labels","VPP Admin Zone Labels","VPP Admin Zone Labels","Метки зон VPPAdminTools","Znaczniki stref VPPAdminTools","VPP Admin Zone Labels","VPP Admin Zone Labels","VPP Admin Zone Labels","VPP Admin Zone Noms de zone","VPP管理区域标签","VPP Admin Zone Labels","VPP Admin Zone Labels","VPP管理区域标签",
STR_DrawZonesOnCOTTitle,"On COT","On COT","On COT","On COT","CommunityOnlineTools","CommunityOnlineTools","On COT","On COT","On COT","Sur COT","关于COT","On COT","On COT","关于COT",
STR_DrawCOTAdminZoneLabelsTitle,"COT Zone Labels","COT Zone Labels","COT Zone Labels","COT Zone Labels","Метки зон CommunityOnlineTools","Znaczniki stref CommunityOnlineTools","COT Zone Labels","COT Zone Labels","COT Zone Labels","COT Noms de zone","COT区域标签","COT Zone Labels","COT Zone Labels","COT区域标签",
STR_Expansion2DMarkersTitle,"Expansion 2D Markers","Expansion 2D Markers","Expansion 2D Markers","Expansion 2D Markers","2D метки Expansion","2D znaczniki Expansion","Expansion 2D Markers","Expansion 2D Markers","Expansion 2D Markers","Expansion 2D Markers","扩展2D标记","Expansion 2D Markers","Expansion 2D Markers","扩展2D标记",
STR_ExpansiondPvPIconTitle,"Expansion 2D PvP Icon","Expansion 2D PvP Icon","Expansion 2D PvP Icon","Expansion 2D PvP Icon","Иконка 2D PvP Expansion","Ikona 2D PvP Expansion","Expansion 2D PvP Icon","Expansion 2D PvP Icon","Expansion 2D PvP Icon","Expansion 2D PvP Icône","扩展2D PvP图标","Expansion 2D PvP Icon","Expansion 2D PvP Icon","扩展2D PvP图标",
STR_ExpansiondPvEIconTitle,"Expansion 2D PvE Icon","Expansion 2D PvE Icon","Expansion 2D PvE Icon","Expansion 2D PvE Icon","Иконка 2D PvE Expansion","Ikona 2D PvE Expansion","Expansion 2D PvE Icon","Expansion 2D PvE Icon","Expansion 2D PvE Icon","Expansion 2D PvE Icône","扩展2D PvE图标","Expansion 2D PvE Icon","Expansion 2D PvE Icon","扩展2D PvE图标",
STR_ExpansiondRaidIconTitle,"Expansion 2D Raid Icon","Expansion 2D Raid Icon","Expansion 2D Raid Icon","Expansion 2D Raid Icon","Иконка 2D рейда Expansion","Ikona 2D RAID Expansion","Expansion 2D Raid Icon","Expansion 2D Raid Icon","Expansion 2D Raid Icon","Expansion 2D Raid Icône","扩展2D 突袭图标","Expansion 2D Raid Icon","Expansion 2D Raid Icon","扩展2D 突袭图标",
STR_ExpansiondVisualIconTitle,"Expansion 2D Visual Icon","Expansion 2D Visual Icon","Expansion 2D Visual Icon","Expansion 2D Visual Icon","2D визуальные иконки Expansion","2D wizualne ikony Expansion","Expansion 2D Visual Icon","Expansion 2D Visual Icon","Expansion 2D Visual Icon","Expansion 2D Icône Visuel","扩展2D视觉图标","Expansion 2D Visual Icon","Expansion 2D Visual Icon","扩展2D视觉图标",
STR_btnGeneralApply0,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","应用保存","Save and Reload","Save and Reload","应用保存",
STR_VehicleTitle,"== Vehicle ==","== Vehicle ==","== Vehicle ==","== Vehicle ==","== Транспорт ==","== ==Transport '== ==","== Vehicle ==","== Vehicle ==","== Vehicle ==","== Véhicule ==","== 载具 ==","== Vehicle ==","== Vehicle ==","== 载具 ==",
STR_NoVehicleZoneKillOrDestroyDelayTitle,"Kill/Destroy Delay (sec)","Kill/Destroy Delay (sec)","Kill/Destroy Delay (sec)","Kill/Destroy Delay (sec)","Задержка убийства/уничтожения (сек.)","Opóźnienie zabicia/zniszczenia (sek.)","Kill/Destroy Delay (sec)","Kill/Destroy Delay (sec)","Kill/Destroy Delay (sec)","Délai de mise à mort/destruction (secs)","杀伤/摧毁延迟（秒）","Kill/Destroy Delay (sec)","Kill/Destroy Delay (sec)","杀伤/摧毁延迟（秒）",
STR_NoVehicleKillPlayerOrDestroyVehicleTitle,"Kill Player or Destroy Vehicle","Kill Player or Destroy Vehicle","Kill Player or Destroy Vehicle","Kill Player or Destroy Vehicle","Убить игрока или уничтожить транспорт","Zabić gracza lub zniszczyć transport","Kill Player or Destroy Vehicle","Kill Player or Destroy Vehicle","Kill Player or Destroy Vehicle","Tuer le joueur ou détruire le véhicule","杀死玩家或摧毁车辆","Kill Player or Destroy Vehicle","Kill Player or Destroy Vehicle","杀死玩家或摧毁车辆",
STR_NoVehicleWarningTextTitle,"Warning Text","Warning Text","Warning Text","Warning Text","Текст предупреждения","Tekst ostrzeżenia","Warning Text","Warning Text","Warning Text","Texte d'avertissement","警告文本","Warning Text","Warning Text","警告文本",
STR_NoVehicleWarningTextValue,"Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Предупреждение: половина времени прошло, покиньте опасную для транспорта зону","Ostrzeżenie: połowa czasu minęła, opuść niebezpieczną dla transportu strefę","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Avertissement : La mi-temps est terminée, sortez de la zone avec le véhicule !","警告：已过一半时间，请带着车辆离开安全区！","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","警告：已过一半时间，请带着车辆离开安全区！",
STR_NoVehicleWarningEffectTitle,"Warning Effect","Warning Effect","Warning Effect","Warning Effect","Эффект при предупреждении","Efekt przy ostrzeżeniu","Warning Effect","Warning Effect","Warning Effect","Effet d'alerte","警告效果","Warning Effect","Warning Effect","警告效果",
STR_NoVehicleWarningEffectIntensityTitle,"Effect Intensity","Effect Intensity","Effect Intensity","Effect Intensity","Интенсивность эффекта","Intensywność efektu","Effect Intensity","Effect Intensity","Effect Intensity","Intensité de l'effet","效果强度","Effect Intensity","Effect Intensity","效果强度",
STR_AllowVehicleDamagePvETitle," Allow Vehicle Damage PvE"," Allow Vehicle Damage PvE"," Allow Vehicle Damage PvE"," Allow Vehicle Damage PvE","Разрешить повреждение транспорта в PvE зонах","Zezwolić na uszkodzenia transportu w strefach PvE"," Allow Vehicle Damage PvE"," Allow Vehicle Damage PvE"," Allow Vehicle Damage PvE","Autoriser les dégâts aux véhicules en PvE"," 允许车辆损坏PvE"," Allow Vehicle Damage PvE"," Allow Vehicle Damage PvE"," 允许车辆损坏PvE",
STR_AllowVehicleDamagePvPTitle,"Allow Vehicle Damage PvP","Allow Vehicle Damage PvP","Allow Vehicle Damage PvP","Allow Vehicle Damage PvP","Разрешить повреждение транспорта в PvP зонах","Zezwolić na uszkodzenia transportu w strefach PvP","Allow Vehicle Damage PvP","Allow Vehicle Damage PvP","Allow Vehicle Damage PvP","Autoriser les dégâts aux véhicules en PvP","允许车辆损坏PvP","Allow Vehicle Damage PvP","Allow Vehicle Damage PvP","允许车辆损坏PvP",
STR_AllowVehicleDamageRaidTitle,"Allow Vehicle Damage Raid","Allow Vehicle Damage Raid","Allow Vehicle Damage Raid","Allow Vehicle Damage Raid","Разрешить повреждение транспорта в Рейд зонах","Zezwolić na uszkodzenia transportu w strefach RAID","Allow Vehicle Damage Raid","Allow Vehicle Damage Raid","Allow Vehicle Damage Raid","Autoriser les dégâts aux véhicules en Raid","允许车辆损坏突袭","Allow Vehicle Damage Raid","Allow Vehicle Damage Raid","允许车辆损坏突袭",
STR_VehicleDamageLoggingTitle,"Vehicle Damage Logging","Vehicle Damage Logging","Vehicle Damage Logging","Vehicle Damage Logging","Логирование повреждений транспорта","Logowanie uszkodzeń transportu","Vehicle Damage Logging","Vehicle Damage Logging","Vehicle Damage Logging","Enregistrement des dommages aux véhicules","车辆损坏记录","Vehicle Damage Logging","Vehicle Damage Logging","车辆损坏记录",
STR_DestroyVehiclePartsTitle,"Destroy Damage Zones","Destroy Damage Zones","Destroy Damage Zones","Destroy Damage Zones","Уничтожить поврежденные зоны","Zniszczenie uszkodzonych stref","Destroy Damage Zones","Destroy Damage Zones","Destroy Damage Zones","Détruire ces éléments du vehicule","摧毁伤害区域","Destroy Damage Zones","Destroy Damage Zones","摧毁伤害区域",
STR_RemoveVehicleAttachmentsTitle,"Remove Attachments","Remove Attachments","Remove Attachments","Remove Attachments","Удалить навесное оборудование","Usunięcie osprzętu","Remove Attachments","Remove Attachments","Remove Attachments","Supprimer les pièces attachées","删除附件","Remove Attachments","Remove Attachments","删除附件",
STR_DestroyVehicleCargoTitle,"Destroy Item Cargo","Destroy Item Cargo","Destroy Item Cargo","Destroy Item Cargo","Уничтожить груз транспорта","Zniszczenie ładunku transportu","Destroy Item Cargo","Destroy Item Cargo","Destroy Item Cargo","Détruire les articles en stockage","销毁物品库存","Destroy Item Cargo","Destroy Item Cargo","销毁物品库存",
STR_VehicleZoneCheckIntervalTitle,"Vehicle Zone Check Interval (if vehicle engine is active)","Vehicle Zone Check Interval (if vehicle engine is active)","Vehicle Zone Check Interval (if vehicle engine is active)","Vehicle Zone Check Interval (if vehicle engine is active)","Интервал проверки зоны транспорта (если двигатель активен)","Interwał sprawdzania strefy transportu (jeśli silnik jest aktywny)","Vehicle Zone Check Interval (if vehicle engine is active)","Vehicle Zone Check Interval (if vehicle engine is active)","Vehicle Zone Check Interval (if vehicle engine is active)","Intervalle de contrôle de la zone du véhicule (si le moteur du véhicule est démarré)","车辆区域检查间隔（如果车辆发动机处于活动状态）","Vehicle Zone Check Interval (if vehicle engine is active)","Vehicle Zone Check Interval (if vehicle engine is active)","车辆区域检查间隔（如果车辆发动机处于活动状态）",
STR_btnGeneralApply1,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","保存应用","Save and Reload","Save and Reload","保存应用",
STR_TerritoryFlagTitle,"== Territory Flag ==","== Territory Flag ==","== Territory Flag ==","== Territory Flag ==","== Флаг территории ==","== Flaga terytorium'== ","== Territory Flag ==","== Territory Flag ==","== Territory Flag ==","== drapeau du territoire ==","== 领土旗帜 ==","== Territory Flag ==","== Territory Flag ==","== 领土旗帜 ==",
STR_EnableTerritoryFlagZonesTitle,"Enable Zones","Enable Zones","Enable Zones","Enable Zones","Включить территорию флага","Włączyć terytorium flagi","Enable Zones","Enable Zones","Enable Zones","Activer les zones","启用区域","Enable Zones","Enable Zones","启用区域",
STR_TerritoryFlagZoneCreateModeTitle,"Create Mode","Create Mode","Create Mode","Create Mode","Режим создания территории флага","Tryb tworzenia terytorium flagi","Create Mode","Create Mode","Create Mode","Mode création","创建模式","Create Mode","Create Mode","创建模式",
STR_TerritoryFlagPvPZoneCheckIntervalTitle,"Interval checks(ms)","Interval checks(ms)","Interval checks(ms)","Interval checks(ms)","Интервал проверки (мс)","Interwał sprawdzania (ms)","Interval checks(ms)","Interval checks(ms)","Interval checks(ms)","Contrôle des intervalles (ms)","间隔检查（ms）","Interval checks(ms)","Interval checks(ms)","间隔检查（ms）",
STR_TerritoryFlagZoneRadiusTitle,"Radius","Radius","Radius","Radius","Радиус","Promień","Radius","Radius","Radius","Rayon","半径","Radius","Radius","半径",
STR_TerritoryFlagZoneTypeTitle,"Zone Type","Zone Type","Zone Type","Zone Type","Тип зоны","Typ strefy","Zone Type","Zone Type","Zone Type","Type de zone","区域类型","Zone Type","Zone Type","区域类型",
STR_TerritoryFlagZonePriorityTitle,"Zone Priority","Zone Priority","Zone Priority","Zone Priority","Приоритет зоны","Priorytet strefy","Zone Priority","Zone Priority","Zone Priority","Priorité à la zone","区域优先级","Zone Priority","Zone Priority","区域优先级",
STR_TerritoryFlagZoneForceFirstPersonTitle,"Force First Person","Force First Person","Force First Person","Force First Person","Вид от 1-го лица","Widok z pierwszej osoby","Force First Person","Force First Person","Force First Person","Forcer Première Personne","强制第一人称","Force First Person","Force First Person","强制第一人称",
STR_TerritoryFlagZoneEnableCustomMessagesTitle,"Enable Custom Messages","Enable Custom Messages","Enable Custom Messages","Enable Custom Messages","Включить пользовательское сообщение","Włączyć wiadomość użytkownika","Enable Custom Messages","Enable Custom Messages","Enable Custom Messages","Activer les messages personnalisés","启用自定义消息","Enable Custom Messages","Enable Custom Messages","启用自定义消息",
STR_TerritoryFlagNotificationTitleTitle,"Notification Title","Notification Title","Notification Title","Notification Title","Заголовок уведомления","Nagłówek powiadomienia","Notification Title","Notification Title","Notification Title","Notif. Titre","通知.标题","Notification Title","Notification Title","通知.标题",
STR_TerritoryFlagNotificationTitleValue,"Flag PvP Zone","Flag PvP Zone","Flag PvP Zone","Flag PvP Zone","Зона PvP с флагом","Strefa PvP z flagą","Flag PvP Zone","Flag PvP Zone","Flag PvP Zone","Drapeau Zone PvP","标记PvP区域","Flag PvP Zone","Flag PvP Zone","标记PvP区域",
STR_TerritoryFlagEnterMessageTitle,"Enter Message","Enter Message","Enter Message","Enter Message","Сообщение о входе","Wiadomość o wejściu","Enter Message","Enter Message","Enter Message","Message d’entré","进入消息","Enter Message","Enter Message","进入消息",
STR_TerritoryFlagEnterMessageValue,"You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","Вы в зоне действия PvP!","Jesteś w strefie PvP!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","Vous êtes entré dans une zone drapeau PvP !","您已进入旗帜PvP区域","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","您已进入旗帜PvP区域",
STR_TerritoryFlagExitMessageTitle,"Exit Message","Exit Message","Exit Message","Exit Message","Сообщение о выходе","Wiadomość o wyjściu","Exit Message","Exit Message","Exit Message","Message de sortie","退出消息","Exit Message","Exit Message","退出消息",
STR_TerritoryFlagExitMessageValue,"You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","Вы покинули зону PvP с флагом.","Opuściłeś strefę PvP z flagą.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","Vous sortez d’une zone drapeau PvP !","您已离开旗帜PvP区域","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","您已离开旗帜PvP区域",
STR_TerritoryFlagNotificationColorTitle,"Notification Color","Notification Color","Notification Color","Notification Color","Цвет уведомления","Kolor powiadomienia","Notification Color","Notification Color","Notification Color","Notif. Couleur","通知.颜色","Notification Color","Notification Color","通知.颜色",
STR_TerritoryFlagZoneIconTitle,"Icon Path","Icon Path","Icon Path","Icon Path","Путь к иконке","Ścieżka do ikony","Icon Path","Icon Path","Icon Path","Chemin de l'icône","图标路径","Icon Path","Icon Path","图标路径",
STR_TerritoryFlagZoneDaysTitle,"Active Days","Active Days","Active Days","Active Days","Активные дни","Aktywne dni","Active Days","Active Days","Active Days","Jours d'activité","激活日期","Active Days","Active Days","激活日期",
STR_TerritoryFlagZoneStartHourTitle,"Start Hour","Start Hour","Start Hour","Start Hour","Час начала","Godzina rozpoczęcia","Start Hour","Start Hour","Start Hour","Heure de début","开始时间","Start Hour","Start Hour","开始时间",
STR_TerritoryFlagZoneEndHourTitle,"End Hour","End Hour","End Hour","End Hour","Час окончания","Godzina zakończenia","End Hour","End Hour","End Hour","Heure de fin","结束时间","End Hour","End Hour","结束时间",
STR_TerritoryFlagZoneDrawCircleTitle,"Draw Shape","Draw Shape","Draw Shape","Draw Shape","Отображение границы зоны","Wyświetlanie granicy strefy","Draw Shape","Draw Shape","Draw Shape","Dessiner une forme","绘制形状","Draw Shape","Draw Shape","绘制形状",
STR_TerritoryFlagZoneAlphaTitle,"Alpha","Alpha","Alpha","Alpha:","Прозрачность","Przezroczystość","Alpha","Alpha","Alpha","Opacité","应用","Alpha","Alpha","应用",
STR_TerritoryFlagZoneRedTitle,"Red","Red","Red","Red","Красный","Czerwony","Red","Red","Red","Rouge","红色","Red","Red","红色",
STR_TerritoryFlagZoneGreenTitle,"Green","Green","Green","Green","Зеленый","Zielony","Green","Green","Green","Vert","绿色","Green","Green","绿色",
STR_TerritoryFlagZoneBlueTitle,"Blue","Blue","Blue","Blue","Синий","Niebieski","Blue","Blue","Blue","Bleu","蓝色","Blue","Blue","蓝色",
STR_btnGeneralApply3,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","保存应用","Save and Reload","Save and Reload","保存应用",
STR_ExpansionGroupsTitle,"== Expansion Groups ==","== Expansion Groups ==","== Expansion Groups ==","== Expansion Groups ==","== Expansion Groups ==","== Expansion Groups ==","== Expansion Groups ==","== Expansion Groups ==","== Expansion Groups ==","== Les groupes d'Expansion ==","== 扩展组队 ==","== Expansion Groups ==","== Expansion Groups ==","== 扩展组队 ==",
STR_ExpansionGroupsFriendlyFireDisabledTitle,"Expansion Groups Friendly Fire Disabled","Expansion Groups Friendly Fire Disabled","Expansion Groups Friendly Fire Disabled","Expansion Groups Friendly Fire Disabled","Отключение дружественного огня для Expansion Groups","Wyłączenie ognia sojuszniczego dla Expansion Groups","Expansion Groups Friendly Fire Disabled","Expansion Groups Friendly Fire Disabled","Expansion Groups Friendly Fire Disabled","Les tires entre amis de Groupe d'Expansion Désactivés","扩展组队好友开火禁用","Expansion Groups Friendly Fire Disabled","Expansion Groups Friendly Fire Disabled","扩展组队好友开火禁用",
STR_ExpansionAITitle,"== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== AI Expansion ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==","== Expansion AI ==",
STR_AiToPlayerDamageEverywhereTitle,"Ai To Player damage Everywhere","Ai To Player damage Everywhere","Ai To Player damage Everywhere","Ai To Player damage Everywhere","Ai может атаковать игроков в любых зонах","AI może atakować graczy w dowolnych strefach","Ai To Player damage Everywhere","Ai To Player damage Everywhere","Ai To Player damage Everywhere","Dommage de L’AI au Joueur partout","Ai对玩家造成的伤害无处不在","Ai To Player damage Everywhere","Ai To Player damage Everywhere","Ai对玩家造成的伤害无处不在",
STR_PlayerToAiDamageEverywhereTitle,"Player To Ai damage Everywhere","Player To Ai damage Everywhere","Player To Ai damage Everywhere","Player To Ai damage Everywhere","Игроки могут атаковать Ai в любых зонах","Gracze mogą atakować AI w dowolnych strefach","Player To Ai damage Everywhere","Player To Ai damage Everywhere","Player To Ai damage Everywhere","Dommage du Joueur à L’AI partout","玩家对Ai造成的伤害无处不在","Player To Ai damage Everywhere","Player To Ai damage Everywhere","玩家对Ai造成的伤害无处不在",
STR_OnlyAllowAIToDoDamageIfPlayerIsPvPTitle,"Allow AI to damage Player, if Player has PvP Status","Allow AI to damage Player, if Player has PvP Status","Allow AI to damage Player, if Player has PvP Status","Allow AI to damage Player, if Player has PvP Status","Игрок может получать урон от Ai только при активном статусе PvP","Gracz może otrzymywać obrażenia od AI tylko przy aktywnym statusie PvP","Allow AI to damage Player, if Player has PvP Status","Allow AI to damage Player, if Player has PvP Status","Allow AI to damage Player, if Player has PvP Status","Permettre à l'IA d'endommager le joueur si ce dernier a un statut PvP","如果玩家处于PvP状态，允许AI伤害玩家","Allow AI to damage Player, if Player has PvP Status","Allow AI to damage Player, if Player has PvP Status","如果玩家处于PvP状态，允许AI伤害玩家",
STR_OnlyAllowDamageToAIOnlyIfPlayerHasPvPStatusTitle,"Allow Players damage to AI, If Player has PvP Status","Allow Players damage to AI, If Player has PvP Status","Allow Players damage to AI, If Player has PvP Status","Allow Players damage to AI, If Player has PvP Status","Игрок может наносить урон AI только при активном статусе PvP","Gracz może zadawać obrażenia AI tylko przy aktywnym statusie PvP","Allow Players damage to AI, If Player has PvP Status","Allow Players damage to AI, If Player has PvP Status","Allow Players damage to AI, If Player has PvP Status","Permettre au joueur d'endommager l’AI si ce joueur a un statut PvP","如果玩家处于PvP状态，允许玩家伤害AI","Allow Players damage to AI, If Player has PvP Status","Allow Players damage to AI, If Player has PvP Status","如果玩家处于PvP状态，允许玩家伤害AI",
STR_OnlyAllowAIToDoDamageIfPlayerIsPvETitle,"Allow AI to damage Player, if Player has PvE state","Allow AI to damage Player, if Player has PvE state","Allow AI to damage Player, if Player has PvE state","Allow AI to damage Player, if Player has PvE state","Игрок может получать урон от Ai только при активном статусе PvE","Gracz może otrzymywać obrażenia od AI tylko przy aktywnym statusie PvE","Allow AI to damage Player, if Player has PvE state","Allow AI to damage Player, if Player has PvE state","Allow AI to damage Player, if Player has PvE state","Permettre à l'IA d'endommager le joueur si celui-ci est en état PvE","如果玩家处于PvE状态，允许AI伤害玩家","Allow AI to damage Player, if Player has PvE state","Allow AI to damage Player, if Player has PvE state","如果玩家处于PvE状态，允许AI伤害玩家",
